,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Aquatic,Semiaquatic,Terrestrial,Scansorial,Subfossorial,Cave_dwelling,Nocturnal,Diurnal,Paedomorphic,Metamorphosizing,Direct_Development,Free_living,No_free_living,Lentic_water,Lotic_water,Both_water,No_larva
110,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Thorius,pennatulus,Thorius_pennatulus,no,no,no,no,yes,no,NA,NA,no,no,yes,no,yes,no,no,no,yes
111,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,alabamensis,Necturus_alabamensis,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
112,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,beyeri,Necturus_beyeri,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
113,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,lewisi,Necturus_lewisi,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
114,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,maculosus,Necturus_maculosus,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no
115,Caudata,Salamandroidea,Proteidae,Proteinae,Proteus,anguinus,Proteus_anguinus,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
116,Caudata,Salamandroidea,Rhyacotritonidae,NA,Rhyacotriton,cascadae,Rhyacotriton_cascadae,no,yes,no,no,no,no,NA,NA,no,yes,no,yes,no,no,yes,no,no
117,Caudata,Salamandroidea,Rhyacotritonidae,NA,Rhyacotriton,olympicus,Rhyacotriton_olympicus,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
118,Caudata,Salamandroidea,Rhyacotritonidae,NA,Rhyacotriton,variegatus,Rhyacotriton_variegatus,no,yes,no,no,no,no,NA,NA,no,yes,no,yes,no,no,yes,no,no
119,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Calotriton,asper,Calotriton_asper,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no
120,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Chioglossa,lusitanica,Chioglossa_lusitanica,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
121,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,ensicauda,Cynops_ensicauda,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
122,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,pyrrhogaster,Cynops_pyrrhogaster,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
123,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,wolterstorffi,Cynops_wolterstorffi,yes,no,no,no,no,no,NA,NA,no,yes,no,yes,no,yes,no,no,no
124,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Echinotriton,andersoni,Echinotriton_andersoni,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
125,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Euproctus,montanus,Euproctus_montanus,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
