,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Activity_Period,Adult_Habitat,Development,Life_History,Larval_Habitat
71,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,auriculatus,Desmognathus_auriculatus,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
72,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,brimleyorum,Desmognathus_brimleyorum,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
73,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,conanti,Desmognathus_conanti,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
74,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,fuscus,Desmognathus_fuscus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
75,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,imitator,Desmognathus_imitator,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
76,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,monticola,Desmognathus_monticola,nocturnal,terrestrial,metamorphosizing,free-living,lotic water
77,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,ochrophaeus,Desmognathus_ochrophaeus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
78,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,quadramaculatus,Desmognathus_quadramaculatus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
79,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Ensatina,eschscholtzii,Ensatina_eschscholtzii,nocturnal,terrestrial,direct development,no free-living,no larva
80,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,bislineata,Eurycea_bislineata,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
81,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,cirrigera,Eurycea_cirrigera,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
82,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,guttolineata,Eurycea_guttolineata,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
83,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,longicauda,Eurycea_longicauda,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
84,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,lucifuga,Eurycea_lucifuga,nocturnal,scansorial,metamorphosizing,free-living,both
85,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,nana,Eurycea_nana,NA,aquatic,paedomorphic,free-living,lotic water
