,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Museum,SpecimenNumber,Sex,Stage,Gill_Presence,SVL_cm,SVL_mm,Mass_g,ED_left_mm,ED_right_mm,CD_left_mm,CD_right_mm,Measured_by
56,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,japonicus,Andrias_japonicus,CAS,16016,NA,NA,no,28.7,287,891,NA,NA,3.29,3.27,Nicole_Bednarik
57,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,japonicus,Andrias_japonicus,CAS,14162,NA,NA,no,27.7,277,440,NA,NA,3.14,2.89,Nicole_Bednarik
58,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,japonicus,Andrias_japonicus,MVZ,67810,NA,adult_juv,no,41.5,415,1342,NA,NA,4.08,4.02,Nicole_Bednarik
59,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Cryptobranchus,alleganiensis,Cryptobranchus_alleganiensis,CAS,74166,NA,NA,no,24.3,243,191.58,NA,NA,3.16,3.27,Nicole_Bednarik
60,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Cryptobranchus,alleganiensis,Cryptobranchus_alleganiensis,CAS,191065,NA,adult,no,25.1,251,251,NA,NA,4.12,3.59,Nicole_Bednarik
61,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Cryptobranchus,alleganiensis,Cryptobranchus_alleganiensis,CAS,5112,NA,NA,no,32.9,329,645,NA,NA,4.52,3.85,Nicole_Bednarik
62,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Cryptobranchus,alleganiensis,Cryptobranchus_alleganiensis,CAS,63965,NA,NA,no,31,310,556,NA,NA,3.16,3.66,Nicole_Bednarik
63,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,aterrimus,Dicamptodon_aterrimus,MVZ,187982,NA,adult,yes,13.2,132,45,6.14,6.08,4.47,4.58,Nicole_Bednarik
64,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,aterrimus,Dicamptodon_aterrimus,MVZ,187981,NA,adult,yes,11.4,114,38,5.17,5.32,3.82,4.36,Nicole_Bednarik
65,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,aterrimus,Dicamptodon_aterrimus,MVZ,187986,NA,adult,yes,11.5,115,23,5.46,5.69,4.56,4.55,Nicole_Bednarik
66,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,copei,Dicamptodon_copei,CAS,64778,NA,adult,yes,9.5,95,23.06,4.64,4.89,3.66,3.55,Nicole_Bednarik
67,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,copei,Dicamptodon_copei,CAS,186659,NA,adult,yes,9.6,96,17.1,3.73,4.01,3.14,3.18,Nicole_Bednarik
68,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,ensatus,Dicamptodon_ensatus,CAS,226128,NA,adult,no,14.3,143,70.2,8.35,8.17,6.17,6.12,Nicole_Bednarik
69,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,ensatus,Dicamptodon_ensatus,CAS,191534,NA,adult,no,13,130,69.9,7.47,7.17,5.95,5.38,Nicole_Bednarik
70,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,ensatus,Dicamptodon_ensatus,CAS,41712,NA,NA,no,17.4,174,101.74,9.64,9.7,6.57,6.35,Nicole_Bednarik
71,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,tenebrosus,Dicamptodon_tenebrosus,CAS,186845,NA,adult,no,13.6,136,79.43,7.87,8.22,6.05,6.78,Nicole_Bednarik
72,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,tenebrosus,Dicamptodon_tenebrosus,CAS,252405,NA,adult,no,15.8,158,131.74,8.17,8.94,5.14,5.69,Nicole_Bednarik
73,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,tenebrosus,Dicamptodon_tenebrosus,CAS,80086,NA,adult,no,12.9,129,53.57,7.23,7.43,6.02,6.05,Nicole_Bednarik
74,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,karlschmidti,Batrachuperus_karlschmidti,MVZ,234892,NA,adult_juv,no,7.3,73,6.18,3.85,3.71,2.24,2.76,Nicole_Bednarik
75,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,karlschmidti,Batrachuperus_karlschmidti,MVZ,234901,NA,adult_juv,no,7.4,74,8.08,3.97,4.14,2.93,2.76,Nicole_Bednarik
76,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,karlschmidti,Batrachuperus_karlschmidti,MVZ,234905,NA,adult_juv,no,7.3,73,6.77,3.89,4.12,2.94,2.92,Nicole_Bednarik
77,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,yenyuanensis,Batrachuperus_yenyuanensis,CAS,194500,NA,NA,no,7.9,79,13.08,4.75,4.65,3.6,3.34,Nicole_Bednarik
78,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,yenyuanensis,Batrachuperus_yenyuanensis,CAS,194489,NA,NA,no,9.2,92,14.72,4.87,5.38,3.67,3.98,Nicole_Bednarik
79,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,yenyuanensis,Batrachuperus_yenyuanensis,CAS,194492,NA,NA,no,8.4,84,13.47,4.48,4.68,3.06,3.41,Nicole_Bednarik
80,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,abei,Hynobius_abei,CAS,14155,adult,NA,no,5.2,52,3.64,3.05,3.03,2.08,2.13,Nicole_Bednarik
81,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,abei,Hynobius_abei,CAS,14156,adult,NA,no,5.7,57,4.11,2.97,2.8,2.22,2.14,Nicole_Bednarik
82,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,abei,Hynobius_abei,CAS,14157,adult,NA,no,6,60,3.39,3.55,3.48,2.39,2.41,Nicole_Bednarik
83,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,amjiensis,Hynobius_amjiensis,CAS,194376,NA,NA,no,8.2,82,12.16,4.25,3.94,2.47,2.81,Nicole_Bednarik
84,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,chinensis,Hynobius_chinensis,CAS,194377,NA,NA,no,6.4,64,5.77,3.3,3.21,2.1,2.18,Nicole_Bednarik
85,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,chinensis,Hynobius_chinensis,CAS,194378,NA,NA,no,6.6,66,6.27,3.78,3.66,2.65,2.34,Nicole_Bednarik
86,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,chinensis,Hynobius_chinensis,CAS,194379,NA,NA,no,6.3,63,4.97,3.14,3.55,1.96,2.19,Nicole_Bednarik
87,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,kimurae,Hynobius_kimurae,CAS,14159,NA,adult,no,7.3,73,6.85,3.6,3.51,2.38,2.56,Nicole_Bednarik
88,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,kimurae,Hynobius_kimurae,CAS,14160,NA,adult,no,7.5,75,10.34,3.93,3.76,2.6,2.47,Nicole_Bednarik
89,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,kimurae,Hynobius_kimurae,CAS,27258,NA,NA,no,6,60,6.79,3.86,3.75,2.52,2.51,Nicole_Bednarik
90,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,leechii,Hynobius_leechii,CAS,35969,NA,NA,no,6,60,4.11,3.34,3.41,2.03,2.07,Nicole_Bednarik
91,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,leechii,Hynobius_leechii,CAS,35964,NA,NA,no,5.1,51,2.85,2.75,2.66,1.96,1.95,Nicole_Bednarik
92,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,leechii,Hynobius_leechii,CAS,35966,NA,NA,no,5.4,54,2.92,3.27,3.21,2.1,2.01,Nicole_Bednarik
93,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,lichenatus,Hynobius_lichenatus,CAS,14146,NA,adult,no,6.5,65,4.29,3.53,3.73,2.6,2.55,Nicole_Bednarik
94,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,lichenatus,Hynobius_lichenatus,CAS,14147,NA,adult,no,6,60,3.51,3.24,3.19,2.04,2.16,Nicole_Bednarik
95,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,lichenatus,Hynobius_lichenatus,CAS,14149,NA,adult,no,6.4,64,3.8,3.37,3.38,2.14,2.15,Nicole_Bednarik
96,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,naevius,Hynobius_naevius,CAS,89955,NA,NA,no,7,70,8,3.78,3.49,2.32,2.29,Nicole_Bednarik
97,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nebulosus,Hynobius_nebulosus,CAS,13163,NA,adult,no,5.4,54,3.34,2.8,2.98,1.75,1.92,Nicole_Bednarik
98,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nebulosus,Hynobius_nebulosus,CAS,13164,NA,adult,no,5.2,52,3.79,3.06,2.87,1.69,1.76,Nicole_Bednarik
99,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nebulosus,Hynobius_nebulosus,CAS,13165,NA,adult,no,4.7,47,3.13,2.75,2.65,1.65,1.86,Nicole_Bednarik
100,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nigrescens,Hynobius_nigrescens,CAS,13166,NA,adult,no,7.5,75,15.9,4.07,4.55,2.59,2.84,Nicole_Bednarik
101,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nigrescens,Hynobius_nigrescens,CAS,13167,NA,adult,no,7.5,75,11.12,4.08,4.03,2.37,2.48,Nicole_Bednarik
102,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nigrescens,Hynobius_nigrescens,CAS,89956,NA,NA,no,8,80,11.25,4.59,4.72,3.56,3.38,Nicole_Bednarik
103,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,sonani,Hynobius_sonani,MVZ,197243,male,adult_juv,no,6.6,66,3.95,3.85,3.37,2.88,2.63,Nicole_Bednarik
104,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,sonani,Hynobius_sonani,MVZ,197242,male,adult_juv,no,5.6,56,3.27,3.38,3.29,2.59,2.67,Nicole_Bednarik
105,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,sonani,Hynobius_sonani,MVZ,197240,female,adult_juv,no,6.1,61,2.84,3.64,3.43,2.97,2.74,Nicole_Bednarik
106,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,tsuensis,Hynobius_tsuensis,CAS,26418,NA,NA,no,6.9,69,7.52,3.58,3.45,2.28,2.47,Nicole_Bednarik
107,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,tsuensis,Hynobius_tsuensis,CAS,26390,NA,NA,no,7.1,71,7.31,3.44,3.66,2.3,2.63,Nicole_Bednarik
108,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,tsuensis,Hynobius_tsuensis,CAS,26432,NA,NA,no,7.8,78,9.12,3.8,3.68,2.44,2.34,Nicole_Bednarik
109,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Liua,shihi,Liua_shihi,MVZ,231147,NA,adult_juv,no,8.9,89,10.92,4.49,4.37,3.16,3.23,Nicole_Bednarik
110,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Liua,shihi,Liua_shihi,MVZ,231149,NA,adult_juv,no,8,80,7.1,4.48,4.07,3.37,3.34,Nicole_Bednarik
111,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Liua,shihi,Liua_shihi,MVZ,231146,NA,adult_juv,no,8.3,83,9.85,4.6,4.43,3.16,3.23,Nicole_Bednarik
112,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,fischeri,Onychodactylus_fischeri,CAS,32170,NA,NA,no,8.2,82,8.76,5.04,4.92,3.59,3.2,Nicole_Bednarik
113,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,fischeri,Onychodactylus_fischeri,CAS,32171,NA,NA,no,5.8,58,3.07,3.81,3.92,2.55,2.01,Nicole_Bednarik
114,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,fischeri,Onychodactylus_fischeri,CAS,32172,NA,NA,no,7.6,76,6.19,4.9,4.88,3.55,3.26,Nicole_Bednarik
115,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,japonicus,Onychodactylus_japonicus,CAS,14161,female,adult,no,7,70,6.97,4.09,4.1,3.07,2.93,Nicole_Bednarik
116,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,japonicus,Onychodactylus_japonicus,MVZ,129400,NA,adult,no,7.3,73,6.24,4.08,4.07,3.07,2.98,Nicole_Bednarik
117,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,japonicus,Onychodactylus_japonicus,MVZ,129401,NA,adult_juv,no,7.2,72,5.76,4.2,4,2.44,2.5,Nicole_Bednarik
118,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Pachyhynobius,shangchengensis,Pachyhynobius_shangchengensis,CAS,194245,NA,adult,no,11.6,116,30,5.08,4.95,2.97,2.9,Nicole_Bednarik
119,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Pachyhynobius,shangchengensis,Pachyhynobius_shangchengensis,CAS,194234,NA,adult,no,11.1,111,30.6,4.55,4.79,2.76,2.86,Nicole_Bednarik
120,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Pachyhynobius,shangchengensis,Pachyhynobius_shangchengensis,CAS,194247,NA,adult,no,12.2,122,35.32,4.81,5.06,2.64,2.83,Nicole_Bednarik
121,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Paradactylodon,mustersi,Paradactylodon_mustersi,CAS,147018,NA,NA,no,9.6,96,17.37,5.36,5.49,3.44,3.83,Nicole_Bednarik
122,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Paradactylodon,mustersi,Paradactylodon_mustersi,CAS,147025,NA,NA,no,9.1,91,12.8,5.59,5.45,3.18,3.69,Nicole_Bednarik
123,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Paradactylodon,mustersi,Paradactylodon_mustersi,CAS,147009,NA,NA,no,8.9,89,9.52,4.77,4.72,3.45,3.44,Nicole_Bednarik
124,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Paradactylodon,mustersi,Paradactylodon_mustersi,MVZ,236809,NA,adult_juv,no,6.1,61,5.63,3.97,3.95,2.97,2.88,Nicole_Bednarik
125,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Paradactylodon,mustersi,Paradactylodon_mustersi,MVZ,236804,NA,adult_juv,no,8,80,8.06,4.65,4.38,3.15,2.79,Nicole_Bednarik
126,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Paradactylodon,mustersi,Paradactylodon_mustersi,MVZ,236807,NA,adult_juv,no,7.8,78,8.19,4.31,4.11,3.09,3.01,Nicole_Bednarik
