"","Genus_Species","X","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat","pglsres.cdsvl"
"36","Bolitoglossa_altamazonica",36,3.4,2.395,53,1.51973910573027,1,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","altamazonica","no","nocturnal","scansorial","direct development","no free-living","no larva",0.141612095316338
"37","Bolitoglossa_engelhardti",37,3.30333333333333,2.35166666666667,48.6666666666667,1.2613016154594,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","engelhardti","no","nocturnal","scansorial","direct development","no free-living","no larva",0.156190644754111
"38","Bolitoglossa_lignicolor",38,3.77,2.58,62,1.44064528692515,1,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","lignicolor","no","nocturnal","scansorial","direct development","no free-living","no larva",0.13253873210386
"39","Bolitoglossa_marmorea",39,4.09166666666667,2.92,62.3333333333333,1.53056983387466,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","marmorea","no","nocturnal","scansorial","direct development","no free-living","no larva",0.184886969398745
"40","Bolitoglossa_mexicana",40,4.35333333333333,2.96666666666667,80,1.92788054902655,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","mexicana","no","nocturnal","scansorial","direct development","no free-living","no larva",0.125926876162466
"41","Bolitoglossa_morio",41,3.31166666666667,2.29,56,1.42177585049763,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","morio","no","nocturnal","scansorial","direct development","no free-living","no larva",0.107612899927948
"42","Bolitoglossa_platydactyla",42,4.14833333333333,2.94166666666667,84,1.97625077023645,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","platydactyla","no","nocturnal","scansorial","direct development","no free-living","no larva",0.109376847484688
"43","Bolitoglossa_rostrata",43,3.515,2.36833333333333,47,1.18019632162372,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rostrata","no","nocturnal","scansorial","direct development","no free-living","no larva",0.168453055514139
"44","Bolitoglossa_rufescens",44,2.58666666666667,1.78333333333333,33.6666666666667,0.877313587038634,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rufescens","no","nocturnal","scansorial","direct development","no free-living","no larva",0.133283428172935
"45","Bolitoglossa_subpalmata",45,3.21166666666667,2.425,45.6666666666667,1.11691943495519,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","subpalmata","no","nocturnal","scansorial","direct development","no free-living","no larva",0.186316156743203
"46","Calotriton_asper",46,3.65,2.71666666666667,63.5066666666667,1.93787651468876,3,"Caudata","Salamandroidea","Salamandridae","Calotriton","asper","no","nocturnal","semiaquatic","metamorphosizing","free-living","both",0.148619494951462
"47","Chioglossa_lusitanica",47,2.54666666666667,1.89166666666667,45,1.20578806883832,3,"Caudata","Salamandroidea","Salamandridae","Chioglossa","lusitanica","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.08232967937752
"48","Chiropterotriton_chiropterus",48,2.56333333333333,2.05166666666667,35.3333333333333,0.910840895105219,3,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","chiropterus","no",NA,"scansorial","direct development","no free-living","no larva",0.181407409557
"49","Chiropterotriton_multidentatus",49,2.58833333333333,1.775,40.3333333333333,0.941655700247935,3,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","multidentatus","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0835740970965117
"50","Cryptobranchus_alleganiensis",50,NA,3.66625,283.25,7.23395082849052,4,"Caudata","Cryptobranchoidea","Cryptobranchidae","Cryptobranchus","alleganiensis","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water",-0.115743823348575
"51","Cynops_ensicauda",51,3.835,2.98,54,1.81104322103931,1,"Caudata","Salamandroidea","Salamandridae","Cynops","ensicauda","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.231590366344206
"52","Cynops_pyrrhogaster",52,4.70833333333333,3.40666666666667,72,2.28877951712248,3,"Caudata","Salamandroidea","Salamandridae","Cynops","pyrrhogaster","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.21379027134958
"53","Cynops_wolterstorffi",53,4.46833333333333,3.23666666666667,72.6666666666667,2.24198593489615,3,"Caudata","Salamandroidea","Salamandridae","Cynops","wolterstorffi","no",NA,"aquatic","metamorphosizing","free-living","lentic water",0.189126516857559
"54","Desmognathus_auriculatus",54,2.80166666666667,2.03,58.6666666666667,1.60362201765371,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","auriculatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0429977656255679
"55","Desmognathus_brimleyorum",55,2.71666666666667,1.98,51,1.44073763094781,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","brimleyorum","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0691222402136213
"56","Desmognathus_conanti",56,2.58,2.01333333333333,53,1.43447580012026,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","conanti","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0662222614672247
"57","Desmognathus_fuscus",57,3.14833333333333,2.46666666666667,60,1.58376896305387,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","fuscus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.121682061245932
"58","Desmognathus_imitator",58,2.63833333333333,1.90333333333333,45.3333333333333,1.31296876565508,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","imitator","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0830524609244422
"59","Desmognathus_monticola",59,3.535,2.55833333333333,61.6666666666667,1.85962839862077,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","monticola","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.130298691334752
