"","Genus_Species","X","Order","Suborder","Family","Genus","Species","Gill_Presence","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat"
"65","Aneides_flavipunctatus",139,"Caudata","Salamandroidea","Plethodontidae","Aneides","flavipunctatus","no",62,2.53,1.3626160718106,3.34,3.49,3.415,2.2,2.22,2.21,"nocturnal","terrestrial","direct development","no free-living","no larva"
"66","Aneides_flavipunctatus",140,"Caudata","Salamandroidea","Plethodontidae","Aneides","flavipunctatus","no",66,2.82,1.41280764437412,3.41,3.26,3.335,2.31,2.01,2.16,"nocturnal","terrestrial","direct development","no free-living","no larva"
"67","Aneides_flavipunctatus",141,"Caudata","Salamandroidea","Plethodontidae","Aneides","flavipunctatus","no",52,1.33,1.09972444888627,2.72,2.82,2.77,2.2,1.89,2.045,"nocturnal","terrestrial","direct development","no free-living","no larva"
"68","Aneides_hardii",142,"Caudata","Salamandroidea","Plethodontidae","Aneides","hardii","no",46,1.02,1.00662270956011,2.72,2.69,2.705,2,1.78,1.89,"nocturnal","subfossorial","direct development","no free-living","no larva"
"69","Aneides_hardii",143,"Caudata","Salamandroidea","Plethodontidae","Aneides","hardii","no",44,1.03,1.00990163404996,2.54,2.7,2.62,1.58,1.63,1.605,"nocturnal","subfossorial","direct development","no free-living","no larva"
"70","Aneides_hardii",144,"Caudata","Salamandroidea","Plethodontidae","Aneides","hardii","no",49,1.77,1.20964450089633,3.04,3.01,3.025,1.98,1.97,1.975,"nocturnal","subfossorial","direct development","no free-living","no larva"
"71","Aneides_lugubris",145,"Caudata","Salamandroidea","Plethodontidae","Aneides","lugubris","no",82,7.82,1.984886072302,4.66,4.44,4.55,3.28,3.07,3.175,"nocturnal","scansorial","direct development","no free-living","no larva"
"72","Aneides_lugubris",146,"Caudata","Salamandroidea","Plethodontidae","Aneides","lugubris","no",86,5.91,1.80798917945857,4.57,4.57,4.57,3.75,3.58,3.665,"nocturnal","scansorial","direct development","no free-living","no larva"
"73","Aneides_lugubris",147,"Caudata","Salamandroidea","Plethodontidae","Aneides","lugubris","no",86,7.87,1.98910745054782,5.03,4.98,5.005,3.94,3.7,3.82,"nocturnal","scansorial","direct development","no free-living","no larva"
"74","Aneides_niger",148,"Caudata","Salamandroidea","Plethodontidae","Aneides","niger","no",76,6.1,1.82716013686352,3.62,3.54,3.58,2.78,2.8,2.79,"nocturnal","semiaquatic","direct development","no free-living","no larva"
"75","Aneides_niger",149,"Caudata","Salamandroidea","Plethodontidae","Aneides","niger","no",73,4.91,1.69965390878522,3.39,3.49,3.44,2.38,2.53,2.455,"nocturnal","semiaquatic","direct development","no free-living","no larva"
"76","Aneides_niger",150,"Caudata","Salamandroidea","Plethodontidae","Aneides","niger","no",72,4.94,1.70310849940527,3.2,3.38,3.29,2.46,2.5,2.48,"nocturnal","semiaquatic","direct development","no free-living","no larva"
"77","Aneides_vagrans",151,"Caudata","Salamandroidea","Plethodontidae","Aneides","vagrans","no",70,3.98,1.58475096181144,3.38,3.4,3.39,2.21,2.3,2.255,"nocturnal","scansorial","direct development","no free-living","no larva"
"78","Aneides_vagrans",152,"Caudata","Salamandroidea","Plethodontidae","Aneides","vagrans","no",71,4.21,1.61470813002311,3.37,3.6,3.485,2.36,2.66,2.51,"nocturnal","scansorial","direct development","no free-living","no larva"
"79","Aneides_vagrans",153,"Caudata","Salamandroidea","Plethodontidae","Aneides","vagrans","no",65,3.64,1.53827433619624,3.45,3.54,3.495,2.72,2.57,2.645,"nocturnal","scansorial","direct development","no free-living","no larva"
"80","Batrachoseps_attenuatus",154,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","attenuatus","no",40,1,1,1.83,1.91,1.87,1.27,1.33,1.3,"nocturnal","subfossorial","direct development","no free-living","no larva"
"81","Batrachoseps_attenuatus",155,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","attenuatus","no",42,0.93,0.976100007668508,1.85,1.95,1.9,1.31,1.39,1.35,"nocturnal","subfossorial","direct development","no free-living","no larva"
"82","Batrachoseps_attenuatus",156,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","attenuatus","no",45,1.01,1.00332228354209,1.94,1.99,1.965,1.43,1.48,1.455,"nocturnal","subfossorial","direct development","no free-living","no larva"
"83","Batrachoseps_major",157,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","major","no",46,1.35,1.10520944959212,2.92,2.72,2.82,1.8,1.99,1.895,"nocturnal","subfossorial","direct development","no free-living","no larva"
